class,precision,recall,f1_score,support
pdf,0.84423142759329,0.577247191011236,0.6856666203253163,4272.0
html,0.9609800362976406,0.8485576923076923,0.9012765957446809,3744.0
jpg,0.5859133126934984,0.7836438923395446,0.6705048715677591,1932.0
doc,0.8370577281191807,0.6295518207282913,0.718625099920064,1428.0
txt,0.6637410861217773,0.8768115942028986,0.7555416796753044,1380.0
xls,0.7564935064935064,0.89272030651341,0.8189806678383128,1044.0
ppt,0.25400801603206413,0.5633333333333334,0.35013812154696133,900.0
xml,0.8328313253012049,0.8694968553459119,0.8507692307692307,636.0
gif,0.5772669220945083,0.7243589743589743,0.642501776830135,624.0
ps,0.6858846918489065,0.9274193548387096,0.7885714285714286,372.0
other,0.7986301369863014,0.45404984423676015,0.5789473684210527,1284.0
