actual\predicted,pdf,html,jpg,doc,txt,xls,ppt,xml,gif,ps,other
pdf,0.909410,0.001873,0.075609,0.000702,0.000234,0.001639,0.001639,0.000000,0.005852,0.003043,0.000000
html,0.000000,0.911859,0.000000,0.001068,0.080395,0.000000,0.000000,0.000534,0.000000,0.001068,0.005075
jpg,0.188923,0.000000,0.803830,0.004141,0.000000,0.001035,0.000518,0.000000,0.001035,0.000000,0.000518
doc,0.109944,0.013305,0.031513,0.665966,0.012605,0.150560,0.013305,0.000000,0.000700,0.000000,0.002101
txt,0.000000,0.093478,0.000000,0.000000,0.832609,0.000000,0.000000,0.000000,0.000000,0.009420,0.064493
xls,0.015326,0.002874,0.002874,0.072797,0.000000,0.902299,0.003831,0.000000,0.000000,0.000000,0.000000
ppt,0.457778,0.000000,0.152222,0.044444,0.000000,0.036667,0.290000,0.000000,0.016667,0.000000,0.002222
xml,0.000000,0.347484,0.000000,0.000000,0.025157,0.000000,0.000000,0.627358,0.000000,0.000000,0.000000
gif,0.498397,0.000000,0.008013,0.011218,0.000000,0.006410,0.000000,0.000000,0.474359,0.000000,0.001603
ps,0.077957,0.008065,0.000000,0.000000,0.005376,0.000000,0.000000,0.000000,0.000000,0.879032,0.029570
other,0.313084,0.068536,0.025701,0.019470,0.077882,0.007788,0.003894,0.009346,0.009346,0.012461,0.452492
