class,precision,recall,f1_score,support
pdf,0.6966110812264659,0.9094101123595506,0.7889125799573561,4272.0
html,0.8787644787644787,0.9118589743589743,0.8950058985450255,3744.0
jpg,0.7398761314911863,0.8038302277432712,0.770528404862317,1932.0
doc,0.8536804308797128,0.6659663865546218,0.7482297403619197,1428.0
txt,0.724007561436673,0.8326086956521739,0.7745197168857432,1380.0
xls,0.7765869744435284,0.9022988505747126,0.8347363757199823,1044.0
ppt,0.8787878787878788,0.29,0.43609022556390975,900.0
xml,0.9661016949152542,0.6273584905660378,0.7607244995233555,636.0
gif,0.8433048433048433,0.47435897435897434,0.6071794871794872,624.0
ps,0.8766756032171582,0.8790322580645161,0.8778523489932886,372.0
other,0.8217821782178217,0.45249221183800625,0.5836263184329483,1284.0
