actual\predicted,pdf,html,jpg,doc,txt,xls,ppt,xml,gif,ps,other,random_noise
pdf,1654,2,492,7,3,1,56,16,1198,93,60,690
html,10,2374,0,103,565,4,0,367,0,84,237,0
jpg,75,0,948,4,0,0,51,3,528,0,9,314
doc,27,6,52,1025,72,19,72,13,78,6,23,35
txt,0,24,0,7,975,3,0,37,0,152,182,0
xls,4,1,4,285,6,686,16,2,22,3,11,4
ppt,65,0,129,51,3,11,298,0,227,3,9,104
xml,0,22,0,14,10,0,0,556,0,18,16,0
gif,26,0,27,1,0,1,4,0,532,0,1,32
ps,7,0,0,0,4,0,0,0,0,332,29,0
other,50,1,57,22,127,12,27,34,233,65,549,107
random_noise,15,0,58,0,0,0,1,0,227,0,0,345
