class,precision,recall,f1_score,support
pdf,0.8556647697878945,0.38717228464419473,0.5331184528605963,4272.0
html,0.9769547325102881,0.6340811965811965,0.7690314220926466,3744.0
jpg,0.5365025466893039,0.4906832298136646,0.5125709651257097,1932.0
doc,0.6747860434496379,0.7177871148459384,0.6956226671191041,1428.0
txt,0.5524079320113314,0.7065217391304348,0.6200317965023847,1380.0
xls,0.9308005427408412,0.657088122605364,0.7703537338573835,1044.0
ppt,0.5676190476190476,0.33111111111111113,0.4182456140350877,900.0
xml,0.5408560311284046,0.8742138364779874,0.6682692307692307,636.0
gif,0.17471264367816092,0.8525641025641025,0.2899972744617062,624.0
ps,0.43915343915343913,0.8924731182795699,0.5886524822695035,372.0
other,0.48756660746003555,0.42757009345794394,0.45560165975103734,1284.0
random_noise,0.21152667075413856,0.5340557275541795,0.30303030303030304,646.0
