actual\predicted,pdf,html,jpg,doc,txt,xls,ppt,xml,gif,ps,other,random_noise
pdf,0.877809,0.093867,0.002341,0.001639,0.009831,0.001873,0.001873,0.000000,0.000000,0.002341,0.008427,0.000000
html,0.002671,0.958066,0.000000,0.000000,0.029647,0.000000,0.000000,0.000000,0.000000,0.000534,0.009081,0.000000
jpg,0.977226,0.002070,0.011387,0.005176,0.000000,0.003623,0.000518,0.000000,0.000000,0.000000,0.000000,0.000000
doc,0.149160,0.175070,0.000700,0.457283,0.006303,0.202381,0.009104,0.000000,0.000000,0.000000,0.000000,0.000000
txt,0.023913,0.557246,0.000000,0.000000,0.379710,0.000000,0.000000,0.000000,0.000000,0.001449,0.037681,0.000000
xls,0.021073,0.067050,0.000000,0.145594,0.000000,0.764368,0.001916,0.000000,0.000000,0.000000,0.000000,0.000000
ppt,0.654444,0.014444,0.003333,0.148889,0.000000,0.140000,0.037778,0.000000,0.000000,0.000000,0.001111,0.000000
xml,0.000000,0.992138,0.000000,0.000000,0.001572,0.000000,0.000000,0.006289,0.000000,0.000000,0.000000,0.000000
gif,0.971154,0.000000,0.000000,0.006410,0.000000,0.020833,0.000000,0.000000,0.001603,0.000000,0.000000,0.000000
ps,0.010753,0.448925,0.000000,0.000000,0.086022,0.000000,0.000000,0.000000,0.000000,0.276882,0.177419,0.000000
other,0.380841,0.380062,0.000000,0.015576,0.071651,0.013240,0.000000,0.000000,0.000000,0.002336,0.136293,0.000000
random_noise,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
