class,precision,recall,f1_score,support
pdf,0.45454545454545453,0.8778089887640449,0.5989458552946814,4272.0
html,0.5622257053291536,0.9580662393162394,0.7086131963650731,3744.0
jpg,0.6111111111111112,0.011387163561076604,0.022357723577235773,1932.0
doc,0.6663265306122449,0.4572829131652661,0.542358803986711,1428.0
txt,0.6461159062885327,0.37971014492753624,0.47832040164308537,1380.0
xls,0.6343402225755167,0.764367816091954,0.6933101650738488,1044.0
ppt,0.5862068965517241,0.03777777777777778,0.0709812108559499,900.0
xml,1.0,0.006289308176100629,0.0125,636.0
gif,1.0,0.0016025641025641025,0.0032,624.0
ps,0.8583333333333333,0.2768817204301075,0.4186991869918699,372.0
other,0.4807692307692308,0.13629283489096572,0.21237864077669902,1284.0
random_noise,0.0,0.0,0.0,646.0
