actual\predicted,pdf,html,jpg,doc,txt,xls,ppt,xml,gif,ps,other
pdf,0.542837,0.000000,0.209270,0.002809,0.000468,0.000702,0.126639,0.002107,0.069991,0.008895,0.036283
html,0.000267,0.781517,0.000000,0.015759,0.098825,0.000000,0.000000,0.085737,0.000000,0.001068,0.016827
jpg,0.043478,0.000000,0.837474,0.004658,0.000000,0.000518,0.067288,0.001035,0.031056,0.000000,0.014493
doc,0.022409,0.007003,0.043417,0.633754,0.008403,0.163165,0.086134,0.003501,0.014006,0.000700,0.017507
txt,0.000000,0.021739,0.000000,0.007246,0.857246,0.000000,0.000000,0.016667,0.000000,0.013043,0.084058
xls,0.001916,0.000958,0.008621,0.087165,0.005747,0.869732,0.022031,0.000958,0.000958,0.000000,0.001916
ppt,0.102222,0.000000,0.220000,0.036667,0.000000,0.034444,0.504444,0.000000,0.055556,0.002222,0.044444
xml,0.000000,0.055031,0.000000,0.017296,0.028302,0.000000,0.000000,0.899371,0.000000,0.000000,0.000000
gif,0.073718,0.000000,0.108974,0.006410,0.000000,0.000000,0.068910,0.000000,0.722756,0.000000,0.019231
ps,0.053763,0.000000,0.000000,0.000000,0.010753,0.000000,0.000000,0.000000,0.000000,0.930108,0.005376
other,0.052960,0.019470,0.107477,0.021028,0.087227,0.010903,0.119159,0.012461,0.028037,0.022586,0.518692
