class,precision,recall,f1_score,support
pdf,0.8704954954954955,0.5428370786516854,0.6686851211072664,4272.0
html,0.9666336306574166,0.781517094017094,0.8642741101757495,3744.0
jpg,0.5416806160026783,0.8374741200828157,0.6578572880666802,1932.0
doc,0.7795004306632214,0.6337535014005602,0.6991116261104674,1428.0
txt,0.69302870533099,0.8572463768115942,0.7664399092970522,1380.0
xls,0.7630252100840336,0.8697318007662835,0.8128916741271263,1044.0
ppt,0.3094751192910702,0.5044444444444445,0.38360794254330377,900.0
xml,0.6027397260273972,0.89937106918239,0.7217665615141956,636.0
gif,0.49182115594329334,0.7227564102564102,0.5853341985723556,624.0
ps,0.7899543378995434,0.9301075268817204,0.854320987654321,372.0
other,0.6005410279531109,0.5186915887850467,0.5566234851650648,1284.0
