actual\predicted,pdf,html,jpg,doc,txt,xls,ppt,xml,gif,ps,other
pdf,0.908708,0.001873,0.076311,0.000936,0.000234,0.001639,0.001404,0.000000,0.005618,0.003277,0.000000
html,0.000000,0.911859,0.000000,0.000801,0.080395,0.000000,0.000000,0.001068,0.000000,0.000801,0.005075
jpg,0.186853,0.000000,0.804865,0.003623,0.000000,0.001035,0.002070,0.000000,0.001035,0.000000,0.000518
doc,0.109244,0.014006,0.031513,0.669468,0.012605,0.148459,0.012605,0.000000,0.000700,0.000000,0.001401
txt,0.000000,0.093478,0.000000,0.000000,0.825362,0.000000,0.000000,0.000000,0.000000,0.010145,0.071014
xls,0.015326,0.002874,0.003831,0.070881,0.000000,0.905172,0.001916,0.000000,0.000000,0.000000,0.000000
ppt,0.462222,0.000000,0.147778,0.045556,0.000000,0.036667,0.291111,0.000000,0.014444,0.000000,0.002222
xml,0.000000,0.344340,0.000000,0.000000,0.023585,0.000000,0.000000,0.632075,0.000000,0.000000,0.000000
gif,0.495192,0.000000,0.006410,0.011218,0.000000,0.006410,0.001603,0.000000,0.477564,0.000000,0.001603
ps,0.077957,0.008065,0.000000,0.000000,0.005376,0.000000,0.000000,0.000000,0.000000,0.879032,0.029570
other,0.315421,0.066978,0.026480,0.017913,0.080218,0.007788,0.003894,0.009346,0.008567,0.012461,0.450935
