class,precision,recall,f1_score,support
pdf,0.6964477933261571,0.9087078651685393,0.7885435709932967,4272.0
html,0.8794435857805255,0.9118589743589743,0.8953579858379229,3744.0
jpg,0.7401237505949548,0.8048654244306418,0.7711381105876519,1932.0
doc,0.8573991031390135,0.6694677871148459,0.7518678725914274,1428.0
txt,0.7213426219126029,0.8253623188405798,0.7698546806353498,1380.0
xls,0.7790601813685079,0.9051724137931034,0.8373947718210013,1044.0
ppt,0.8791946308724832,0.2911111111111111,0.4373956594323873,900.0
xml,0.9617224880382775,0.6320754716981132,0.7628083491461101,636.0
gif,0.8538681948424068,0.4775641025641026,0.6125385405960946,624.0
ps,0.8743315508021391,0.8790322580645161,0.8766756032171582,372.0
other,0.8120617110799438,0.45093457943925236,0.5798698047070606,1284.0
